ブラジル,BRA,bra,A
クロアチア,HRV,cro,A
メキシコ,MEX,mex,A
カメルーン,CME,cmr,A
スペイン,ESP,esp,B
オランダ,NLD,ned,B
チリ,CHL,chi,B
オーストラリア,AUS,aus,B
コロンビア,COL,col,C
ギリシャ,GRC,gre,C
コートジボワール,CIV,civ,C
日本,JPN,jpn,C
ウルグアイ,URY,uru,D
コスタリカ,CRI,crc,D
イングランド,ENG,eng,D
イタリア,ITA,ita,D
スイス,CHE,sui,E
エクアドル,ECU,ecu,E
フランス,FRA,fra,E
ホンジュラス,HND,hon,E
アルゼンチン,ARG,arg,F
ボスニアヘルチェゴビナ,BIH,bih,F
イラン,IRN,irn,F
ナイジェリア,NGA,nga,F
ドイツ,DEU,ger,G
ポルトガル,PRT,por,G
ガーナ,GHA,gha,G
アメリカ,USA,usa,G
ベルギー,BEL,bel,H
アルジェリア,DZA,alg,H
ロシア,RUS,rus,H
韓国,KOR,kor,H
